English,Colombia (ES),Peru (ES),Ecuador (ES),category,notes
To,Hasta,Hasta,Hasta,UI,label маршрута From/To -> Desde/Hasta
From,Desde,Desde,Desde,UI,
Entry points,,,,SKIP,служебный заголовок секции на канвасе
Main screen RH,,,,SKIP,"служебное имя, RH = вариант раскладки"
Pickup point,Punto de recogida,Punto de recogida,Punto de recogida,UI,
20 Ingram Str.,Calle 45 # 8-12,Calle 45 # 8-12,Calle 45 # 8-12,DATA,"адрес отправления, повторяется во многих местах"
Ride,Viaje,Viaje,Viaje,UI,
Courier,Mensajería,Mensajería,Mensajería,UI,название вертикали в навигации
City to city,Entre ciudades,Entre ciudades,Entre ciudades,UI,
Freight,Carga,Carga,Carga,UI,
Where to & for how much?,¿A dónde y por cuánto?,¿A dónde y por cuánto?,¿A dónde y por cuánto?,UI,
Where to & how much for?,¿A dónde y por cuánto?,¿A dónde y por cuánto?,¿A dónde y por cuánto?,UI,вариант той же фразы
Daily Bugle,Centro Comercial Andino,Centro Comercial Andino,Centro Comercial Andino,DATA,пример места назначения
"175 5th Ave, New York","Calle 82 # 11-15, Bogotá","Calle 82 # 11-15, Bogotá","Calle 82 # 11-15, Bogotá",DATA,
"3,3 km","3,3 km","3,3 km","3,3 km",DATA,"формат с запятой уже испанский, менять не нужно"
Harlem Kettlebell Club,Gimnasio CrossFit Chapinero,Gimnasio CrossFit Chapinero,Gimnasio CrossFit Chapinero,DATA,
"1775 Madison Ave, New York","Carrera 15 # 93-47, Bogotá","Carrera 15 # 93-47, Bogotá","Carrera 15 # 93-47, Bogotá",DATA,
"3,7 km","3,7 km","3,7 km","3,7 km",DATA,
Joe's Pizza,Pizzería Julia,Pizzería Julia,Pizzería Julia,DATA,
"457 W 17th St, New York","Calle 116 # 15-32, Bogotá","Calle 116 # 15-32, Bogotá","Calle 116 # 15-32, Bogotá",DATA,
"2,2 km","2,2 km","2,2 km","2,2 km",DATA,
Midtown High School,Colegio San Carlos,Colegio San Carlos,Colegio San Carlos,DATA,
"200 W 40th St, New York","Carrera 7 # 127-45, Bogotá","Carrera 7 # 127-45, Bogotá","Carrera 7 # 127-45, Bogotá",DATA,
"9,2 km","9,2 km","9,2 km","9,2 km",DATA,
Jirán Zorritos 920,Calle 45 # 8-12,Calle 45 # 8-12,Calle 45 # 8-12,DATA,дубль адреса отправления
Aeropuerto Inte...al Jorge Chávez,Aeropuerto El Dorado,Aeropuerto El Dorado,Aeropuerto El Dorado,DATA,
Centro médico... Santiago Távara,Clínica Country,Clínica Country,Clínica Country,DATA,
How is it better to transport things?,¿Cómo transportar tus cosas?,¿Cómo transportar tus cosas?,¿Cómo transportar tus cosas?,UI,
Services in your city,Servicios en tu ciudad,Servicios en tu ciudad,Servicios en tu ciudad,UI,
Popular intercity travels,Viajes populares entre ciudades,Viajes populares entre ciudades,Viajes populares entre ciudades,UI,
Save money with inDrive+ ,Ahorra con inDrive+ ,Ahorra con inDrive+ ,Ahorra con inDrive+ ,UI,
